2020	2020 Bulkers	84,80	-3,20%	83,80	84,80	13:59	0,66	36	1 880,09
FIVEPG	5th Planet Games	0,38	2,43%	0,37	0,39	14:35	0,04	16	20,42
AASB-ME	Aasen Sparebank	129,00	-	127,00	132,00	23 des	0,00	0	130,79
ASC	ABG Sundal Collier Holding	3,88	-3,00%	3,87	3,89	14:50	1,41	183	1 772,09
ADE	Adevinta	108,20	1,31%	108,00	108,60	14:39	1,64	106	74 111,43
ADSC-ME	ADS Crude Carriers	32,00	4,58%	31,80	32,00	14:47	9,29	263	748,49
AEGA	Aega	1,11	0,00%	1,15	1,21	09:07	0,02	5	53,34
AFG	AF Gruppen	173,50	0,58%	173,50	174,00	14:36	1,73	55	17 877,78
AKA	Akastor	9,46	-3,86%	9,41	9,48	14:39	1,05	146	2 569,43
AKER	Aker	550,50	0,46%	550,00	550,50	14:48	30,51	945	40 884,80
AKERBP	Aker BP	293,10	1,42%	292,90	293,20	14:50	107,07	2305	105 549,27
AKSO	Aker Solutions	25,76	-0,92%	25,75	25,77	14:50	13,74	1024	7 005,25
AKVA	AKVA Group	74,20	-0,27%	72,80	74,20	11:26	0,06	6	2 456,50
AMSC	American Shipping Company	32,80	0,15%	32,75	33,00	14:36	0,96	80	1 988,22
ABT	Aqua Bio Technology	2,60	10,17%	2,50	2,60	12:40	0,05	7	39,92
AQUA	AqualisBraemar	3,97	2,32%	3,80	3,97	14:23	0,12	10	279,16
ARCHER	Archer	3,21	-3,89%	3,22	3,24	14:36	1,88	135	474,87
ARCUS	Arcus	36,50	1,11%	36,50	36,80	14:48	0,70	36	2 474,72
AFK	Arendals Fossekompani	2 610,00	-2,61%	2 610,00	2 670,00	14:40	0,06	5	5 714,38
ASETEK	Asetek	29,65	-2,47%	29,30	29,60	14:30	0,76	82	733,96
ATEA	Atea	129,20	0,94%	128,80	129,20	14:47	2,55	155	14 173,31
ATLA NOK	Atlantic Petroleum	7,85	-	7,45	7,85	30 des	0,00	0	29,03
ASA-ME	Atlantic Sapphire	128,50	-0,39%	128,00	128,50	14:45	2,77	65	9 158,98
AURG	Aurskog Sparebank	197,00	-	192,00	199,00	02 jan	0,00	0	633,19
AUSS	Austevoll Seafood	91,10	0,22%	91,10	91,20	14:49	6,08	399	18 386,17
AVANCE	Avance Gas Holding	58,00	9,02%	58,00	58,10	14:48	104,10	2631	3 692,07
AVM	Avocet Mining PLC	1,56	-	-	-	30 apr	0,00	0	32,51
AWDR	Awilco Drilling	15,05	-5,35%	15,05	15,50	12:58	0,21	29	821,45
ALNG	Awilco LNG	3,14	-4,85%	3,10	3,16	14:40	0,18	27	416,20
AXA	Axactor	19,20	-3,03%	19,20	19,30	14:39	2,47	112	2 983,59
AGS	Axxis Geo Solutions	1,09	-2,24%	1,08	1,09	14:49	1,66	176	64,11
B2H	B2Holding	10,00	-1,48%	9,99	10,01	14:49	6,11	324	4 099,33
